Time (sec),Rotation_X (deg),Height_Z (mm)
18.500,-2.961,-6.460
18.533,-2.961,-6.460
18.567,-2.961,-6.460
18.600,-2.965,-6.466
18.633,-2.965,-6.466
18.667,-2.965,-6.466
18.700,-2.969,-6.472
18.733,-2.977,-6.477
18.767,-2.981,-6.485
18.800,-2.991,-6.491
18.833,-2.991,-6.491
18.867,-2.997,-6.504
18.900,-3.002,-6.519
18.933,-3.002,-6.519
18.967,-3.013,-6.525
19.000,-3.013,-6.525
19.033,-3.013,-6.525
19.067,-3.025,-6.525
19.100,-3.025,-6.525
19.133,-3.025,-6.525
19.167,-3.025,-6.525
19.200,-3.032,-6.541
19.233,-3.032,-6.541
19.267,-3.032,-6.541
19.300,-3.032,-6.541
19.333,-3.032,-6.541
19.367,-3.032,-6.541
19.400,-3.046,-6.562
19.433,-3.046,-6.562
19.467,-3.046,-6.562
19.500,-3.054,-6.578
19.533,-3.066,-6.595
19.567,-3.076,-6.612
19.600,-3.088,-6.628
19.633,-3.088,-6.628
19.667,-3.088,-6.628
19.700,-3.088,-6.628
19.733,-3.088,-6.628
19.767,-3.088,-6.628
19.800,-3.100,-6.642
19.833,-3.100,-6.642
19.867,-3.113,-6.664
19.900,-3.127,-6.682
19.933,-3.140,-6.697
19.967,-3.152,-6.712
20.000,-3.160,-6.723
20.033,-3.160,-6.723
20.067,-3.170,-6.734
20.100,-3.181,-6.753
20.133,-3.194,-6.772
20.167,-3.207,-6.797
20.200,-3.207,-6.797
20.233,-3.207,-6.797
20.267,-3.221,-6.839
20.300,-3.234,-6.880
20.333,-3.234,-6.880
20.367,-3.254,-6.918
20.400,-3.254,-6.918
20.433,-3.254,-6.918
20.467,-3.254,-6.918
20.500,-3.254,-6.918
20.533,-3.254,-6.918
20.567,-3.254,-6.918
20.600,-3.254,-6.918
20.633,-3.254,-6.918
20.667,-3.254,-6.918
20.700,-3.277,-6.962
20.733,-3.277,-6.962
20.767,-3.298,-7.002
20.800,-3.298,-7.002
20.833,-3.298,-7.002
20.867,-3.298,-7.002
20.900,-3.298,-7.002
20.933,-3.298,-7.002
20.967,-3.298,-7.002
21.000,-3.319,-7.057
21.033,-3.319,-7.057
21.067,-3.336,-7.100
21.100,-3.336,-7.100
21.133,-3.336,-7.100
21.167,-3.336,-7.100
21.200,-3.336,-7.100
21.233,-3.336,-7.100
21.267,-3.357,-7.144
21.300,-3.357,-7.144
21.333,-3.357,-7.144
21.367,-3.357,-7.144
21.400,-3.388,-7.192
21.433,-3.388,-7.192
21.467,-3.388,-7.192
21.500,-3.388,-7.192
21.533,-3.388,-7.192
21.567,-3.388,-7.192
21.600,-3.388,-7.192
21.633,-3.388,-7.192
21.667,-3.420,-7.251
21.700,-3.420,-7.251
21.733,-3.448,-7.277
21.767,-3.480,-7.334
21.800,-3.508,-7.388
21.833,-3.508,-7.388
21.867,-3.508,-7.388
21.900,-3.508,-7.388
21.933,-3.508,-7.388
21.967,-3.541,-7.446
22.000,-3.541,-7.446
22.033,-3.541,-7.446
22.067,-3.541,-7.446
22.100,-3.570,-7.504
22.133,-3.600,-7.557
22.167,-3.627,-7.606
22.200,-3.627,-7.606
22.233,-3.650,-7.657
22.267,-3.650,-7.657
22.300,-3.650,-7.657
22.333,-3.650,-7.657
22.367,-3.650,-7.657
22.400,-3.679,-7.705
22.433,-3.704,-7.760
22.467,-3.704,-7.760
22.500,-3.726,-7.807
22.533,-3.726,-7.807
22.567,-3.726,-7.807
22.600,-3.726,-7.807
22.633,-3.756,-7.856
22.667,-3.778,-7.912
22.700,-3.778,-7.912
22.733,-3.778,-7.912
22.767,-3.778,-7.912
22.800,-3.807,-7.963
22.833,-3.807,-7.963
22.867,-3.807,-7.963
22.900,-3.807,-7.963
22.933,-3.831,-8.022
22.967,-3.831,-8.022
23.000,-3.857,-8.078
23.033,-3.857,-8.078
23.067,-3.857,-8.078
23.100,-3.879,-8.142
23.300,-3.906,-8.202
23.333,-3.906,-8.202
23.367,-3.937,-8.246
23.400,-3.966,-8.285
23.433,-3.966,-8.285
23.467,-3.966,-8.285
23.500,-3.966,-8.285
23.533,-3.966,-8.285
23.567,-3.966,-8.285
23.600,-3.966,-8.285
23.633,-3.996,-8.330
23.667,-3.996,-8.330
23.700,-4.022,-8.373
23.733,-4.022,-8.373
23.767,-4.051,-8.414
23.800,-4.051,-8.414
23.833,-4.080,-8.454
23.867,-4.080,-8.454
23.900,-4.080,-8.454
23.933,-4.080,-8.454
23.967,-4.105,-8.502
24.000,-4.105,-8.502
24.033,-4.105,-8.502
24.067,-4.105,-8.502
24.100,-4.105,-8.502
24.133,-4.105,-8.502
24.167,-4.105,-8.502
24.200,-4.105,-8.502
24.233,-4.105,-8.502
24.267,-4.105,-8.502
24.300,-4.105,-8.502
24.333,-4.105,-8.502
24.367,-4.144,-8.554
24.433,-4.180,-8.611
24.467,-4.180,-8.611
24.500,-4.180,-8.611
24.533,-4.180,-8.611
24.567,-4.180,-8.611
24.600,-4.215,-8.669
24.633,-4.215,-8.669
24.667,-4.215,-8.669
24.700,-4.215,-8.669
24.733,-4.245,-8.721
24.767,-4.245,-8.721
24.800,-4.245,-8.721
24.833,-4.273,-8.766
24.867,-4.273,-8.766
24.900,-4.273,-8.766
24.933,-4.273,-8.766
24.967,-4.273,-8.766
25.000,-4.273,-8.766
25.033,-4.295,-8.799
25.067,-4.295,-8.799
25.100,-4.312,-8.824
25.133,-4.312,-8.824
25.200,-4.325,-8.843
25.233,-4.325,-8.843
25.267,-4.325,-8.843
25.300,-4.337,-8.856
25.333,-4.337,-8.856
25.367,-4.344,-8.866
25.400,-4.344,-8.866
25.433,-4.344,-8.866
25.467,-4.344,-8.866
25.500,-4.344,-8.866
25.533,-4.344,-8.866
25.567,-4.344,-8.866
25.600,-4.344,-8.866
25.633,-4.344,-8.866
25.667,-4.344,-8.866
25.700,-4.344,-8.866
25.733,-4.344,-8.866
25.767,-4.344,-8.866
25.800,-4.349,-8.861
25.833,-4.349,-8.861
25.867,-4.346,-8.861
25.900,-4.346,-8.861
25.933,-4.346,-8.861
25.967,-4.346,-8.861
26.000,-4.347,-8.859
26.033,-4.347,-8.859
26.067,-4.347,-8.859
26.100,-4.347,-8.859
26.133,-4.347,-8.859
26.233,-4.347,-8.859
26.300,-4.347,-8.859
26.333,-4.347,-8.859
26.367,-4.347,-8.859
26.400,-4.347,-8.859
26.433,-4.347,-8.859
26.467,-4.340,-8.839
26.533,-4.340,-8.839
26.567,-4.340,-8.839
26.600,-4.340,-8.839
26.633,-4.340,-8.839
26.667,-4.340,-8.839
26.700,-4.332,-8.807
26.733,-4.332,-8.807
26.767,-4.319,-8.779
26.800,-4.319,-8.779
26.833,-4.319,-8.779
26.867,-4.319,-8.779
26.900,-4.319,-8.779
26.933,-4.319,-8.779
26.967,-4.319,-8.779
27.000,-4.319,-8.779
27.033,-4.319,-8.779
27.067,-4.319,-8.779
27.100,-4.319,-8.779
27.133,-4.319,-8.779
27.200,-4.319,-8.779
27.233,-4.319,-6.929
27.300,-4.319,-6.929
27.333,-4.319,-6.929
27.400,-4.319,-6.929
27.433,-4.297,-7.062
27.467,-4.297,-7.062
27.500,-4.297,-7.062
27.533,-4.280,-7.180
27.567,-4.280,-7.180
27.600,-4.280,-7.180
27.633,-4.261,-7.283
27.667,-4.243,-7.374
27.700,-4.227,-7.451
27.733,-4.227,-7.451
27.767,-4.208,-7.520
27.800,-4.191,-7.582
27.833,-4.174,-7.640
27.867,-4.174,-7.640
27.900,-4.174,-7.640
27.933,-4.174,-7.640
27.967,-4.174,-7.640
28.000,-4.174,-7.640
28.033,-4.174,-7.640
28.067,-4.174,-7.640
28.100,-4.174,-7.640
28.133,-4.174,-7.640
28.167,-4.174,-7.640
28.200,-4.107,-7.371
28.233,-4.107,-7.371
28.267,-4.107,-7.371
28.300,-4.107,-7.371
28.333,-4.107,-7.371
28.367,-4.107,-7.371
28.400,-4.091,-7.428
28.433,-4.074,-7.484
28.467,-4.074,-7.484
28.500,-4.059,-7.530
28.533,-4.046,-7.571
28.567,-4.032,-7.607
28.600,-4.032,-7.607
28.633,-4.032,-7.607
28.667,-4.032,-7.607
28.700,-4.032,-7.607
28.733,-4.032,-7.607
28.767,-4.032,-7.607
28.800,-4.032,-7.607
28.833,-4.013,-7.624
28.867,-3.998,-7.634
28.900,-3.998,-7.634
28.933,-3.998,-7.634
28.967,-3.998,-7.634
29.000,-3.978,-7.634
29.033,-3.978,-7.634
29.067,-3.978,-7.634
29.100,-3.978,-7.634
29.133,-3.978,-7.634
29.167,-3.958,-7.625
29.200,-3.958,-7.625
29.233,-3.936,-7.609
29.267,-3.914,-7.594
29.300,-3.894,-7.575
29.333,-3.894,-7.575
29.367,-3.894,-7.575
29.400,-3.894,-7.575
29.433,-3.894,-7.575
29.467,-3.882,-7.550
29.500,-3.874,-7.522
29.533,-3.874,-7.522
29.567,-3.874,-7.522
29.600,-3.874,-7.522
29.633,-3.874,-7.522
29.667,-3.874,-7.522
29.700,-3.856,-7.502
29.733,-3.856,-7.502
29.767,-3.856,-7.502
29.800,-3.856,-7.502
29.833,-3.856,-7.502
29.867,-3.856,-7.502
29.900,-3.856,-7.502
29.933,-3.840,-7.476
29.967,-3.840,-7.476
30.000,-3.840,-7.476
30.033,-3.840,-7.476
30.067,-3.840,-7.476
30.100,-3.840,-7.476
30.133,-3.840,-7.476
30.167,-3.840,-7.476
30.200,-3.840,-7.476
30.233,-3.840,-7.476
30.267,-3.821,-7.428
30.300,-3.821,-7.428
30.333,-3.821,-7.428
30.367,-3.821,-7.428
30.400,-3.802,-7.382
30.433,-3.786,-7.338
30.467,-3.786,-7.338
30.500,-3.786,-7.338
30.533,-3.786,-7.338
30.567,-3.786,-7.338
30.600,-3.765,-7.288
30.633,-3.765,-7.288
30.667,-3.745,-7.244
30.700,-3.731,-7.198
30.733,-3.731,-7.198
30.767,-3.731,-7.198
30.800,-4.515,-6.927
30.833,-4.420,-6.915
30.867,-4.420,-6.915
30.900,-4.420,-6.915
30.933,-4.335,-6.900
30.967,-4.255,-6.882
31.000,-4.183,-6.863
31.033,-4.183,-6.863
31.067,-4.183,-6.863
31.100,-4.183,-6.863
31.133,-4.183,-6.863
31.167,-4.183,-6.863
31.200,-4.183,-6.863
31.233,-4.183,-6.863
31.267,-4.116,-6.835
31.300,-4.116,-6.835
31.333,-4.116,-6.835
31.367,-4.116,-6.835
31.400,-4.116,-6.835
31.433,-4.047,-6.797
31.467,-3.986,-6.759
31.500,-3.986,-6.759
31.533,-3.932,-6.724
31.567,-3.883,-6.690
31.600,-3.883,-6.690
31.633,-3.838,-6.655
31.667,-3.838,-6.655
31.700,-3.838,-6.655
31.733,-3.838,-6.655
31.767,-3.838,-6.655
31.800,-3.838,-6.655
31.833,-3.838,-6.655
31.867,-3.796,-6.621
31.900,-3.796,-6.621
31.933,-3.755,-6.589
31.967,-3.755,-6.589
32.000,-3.755,-6.589
32.033,-3.755,-6.589
32.067,-3.755,-6.589
32.100,-3.755,-6.589
32.133,-3.709,-6.533
32.167,-3.709,-6.533
32.200,-3.665,-6.459
32.233,-3.665,-6.459
32.267,-3.665,-6.459
32.300,-3.665,-6.459
32.333,-3.665,-6.459
32.367,-3.622,-6.386
32.400,-3.622,-6.386
32.433,-3.622,-6.386
32.467,-3.583,-6.322
32.500,-3.583,-6.322
32.533,-3.553,-6.266
32.567,-3.528,-6.225
32.600,-3.528,-6.225
32.633,-3.509,-6.198
32.667,-3.495,-6.172
32.700,-3.495,-6.172
32.733,-3.495,-6.172
32.767,-3.495,-6.172
32.800,-3.495,-6.172
32.833,-3.488,-6.152
32.867,-3.476,-6.143
32.900,-3.465,-6.136
32.933,-3.465,-6.136
32.967,-3.465,-6.136
33.000,-3.465,-6.136
33.033,-3.465,-6.136
33.067,-3.465,-6.136
33.100,-3.465,-6.136
33.133,-3.465,-6.136
33.167,-3.465,-6.136
33.200,-3.465,-6.136
33.233,-3.465,-6.136
33.267,-3.468,-6.145
33.300,-3.468,-6.145
33.333,-3.465,-6.158
33.367,-3.465,-6.158
33.400,-3.465,-6.158
33.433,-3.465,-6.158
33.467,-3.465,-6.158
33.500,-3.465,-6.158
33.533,-3.465,-6.158
33.567,-3.465,-6.158
33.600,-3.465,-6.158
33.633,-3.465,-6.158
33.667,-3.471,-6.173
33.700,-3.474,-6.191
33.733,-3.474,-6.191
33.767,-3.482,-6.209
33.800,-3.482,-6.209
33.833,-3.482,-6.209
33.867,-3.482,-6.209
33.900,-3.491,-6.233
33.933,-3.491,-6.233
33.967,-3.491,-6.233
34.000,-3.505,-6.263
34.033,-3.505,-6.263
34.067,-3.505,-6.263
34.100,-3.523,-6.300
34.133,-3.523,-6.300
34.167,-3.544,-6.330
34.200,-3.544,-6.330
34.233,-3.544,-6.330
34.267,-3.552,-6.363
34.300,-3.564,-6.388
34.333,-3.564,-6.388
34.367,-3.578,-6.410
34.400,-3.578,-6.410
34.433,-3.578,-6.410
